名字,最大CP,最大HP,攻擊,防禦,耐力,屬性
請假王,"4,431",233,290,166,284,一般
美洛耶塔,"3,972",187,250,225,225,一般
多邊獸Ｚ,"3,266",166,264,150,198,一般
卡比獸,"3,225",269,190,169,330,一般
勇士雄鷹,"3,088",187,232,152,225,一般
圈圈熊,"2,945",173,236,144,207,一般
長毛狗,"2,827",166,206,182,198,一般
姆克鷹,"2,825",166,234,140,198,一般
爆炸頭水牛,"2,797",180,195,182,216,一般
幸福蛋,"2,757",399,129,169,496,一般
高傲雉雞,"2,734",160,226,146,190,一般
多邊獸Ⅱ,"2,711",166,198,180,198,一般
堵攔熊,"2,652",177,180,194,212,一般
肯泰羅,"2,620",153,198,183,181,一般
袋獸,"2,586",193,181,165,233,一般
大舌舔,"2,467",200,161,181,242,一般
雙尾怪手,"2,418",153,205,143,181,一般
貓鼬斬,"2,418",150,222,124,177,一般
萌芽鹿,"2,416",160,198,146,190,一般
嘟嘟利,"2,362",132,218,140,155,一般
大奶罐,"2,354",180,157,193,216,一般
爆音怪,"2,347",193,179,137,232,一般
奇諾栗鼠,"2,242",153,198,130,181,一般
驚角鹿,"2,164",150,192,131,177,一般
大比鳥,"2,129",164,166,154,195,一般
長耳兔,"2,059",139,156,194,163,一般
麒麟奇,"2,046",146,182,133,172,一般
貓頭夜鷹,"2,024",187,145,156,225,一般
大嘴雀,"1,997",139,182,133,163,一般
過動猿,"1,968",160,159,145,190,一般
東施喵,"1,953",147,172,133,174,一般
胖可丁,"1,926",242,156,90,295,一般
大王燕,"1,920",132,185,124,155,一般
小卡比獸,"1,892",235,137,117,286,一般
大尾狸,"1,823",158,162,119,188,一般
步哨鼠,"1,819",132,165,139,155,一般
聒噪鳥,"1,791",154,183,91,183,一般
大尾立,"1,758",166,148,125,198,一般
拉達,"1,730",125,161,139,146,一般
多邊獸,"1,720",139,153,136,163,一般
土龍弟弟,"1,689",187,131,128,225,一般
貓老大,"1,689",139,150,136,163,一般
差不多娃娃,"1,682",191,114,163,230,一般
直衝熊,"1,662",157,142,128,186,一般
飄浮泡泡,"1,632",146,139,139,172,一般
哈約克,"1,583",139,145,126,163,一般
優雅貓,"1,496",146,132,127,172,一般
毛頭小鷹,"1,491",146,150,97,172,一般
咕咕鴿,"1,442",135,144,107,158,一般
大舌頭,"1,411",173,108,137,207,一般
長尾怪手,"1,348",125,136,112,146,一般
熊寶寶,"1,328",132,142,93,155,一般
吼爆彈,"1,327",165,134,81,197,一般
姆克鳥,"1,299",125,142,94,146,一般
捲捲耳,"1,258",125,130,105,146,一般
吉利蛋,"1,255",392,60,128,487,一般
大蔥鴨,"1,236",121,124,115,141,一般
晃晃斑,"1,220",132,116,116,155,一般
嘟嘟,"1,200",98,158,83,111,一般
比比鳥,"1,194",136,117,105,160,一般
四季鹿,"1,135",132,115,100,155,一般
伊布,"1,071",125,104,114,146,一般
懶人獺,"1,002",132,104,92,155,一般
魅力喵,934,117,109,82,135,一般
小約克,915,111,107,86,128,一般
泡沫栗鼠,872,125,98,80,146,一般
豆豆鴿,848,118,98,80,137,一般
百變怪,832,116,91,91,134,一般
青綿鳥,824,111,76,132,128,一般
烈雀,798,105,112,60,120,一般
探探鼠,791,111,98,73,128,一般
傲骨燕,765,105,106,61,120,一般
喵喵,748,105,92,78,120,一般
向尾喵,739,118,84,79,137,一般
小拉達,734,91,103,70,102,一般
胖丁,724,207,80,41,251,一般
大牙狸,721,131,80,73,153,一般
姆克兒,719,105,101,58,120,一般
波波,680,105,85,73,120,一般
咕咕,677,132,67,88,155,一般
咕妞妞,671,138,92,42,162,一般
尾立,618,98,79,73,111,一般
寶寶丁,535,173,69,32,207,一般
蛇紋熊,508,102,58,80,116,一般
小福蛋,371,187,25,77,225,一般
露力麗,364,118,36,71,137,一般
,"1,689",155,145,120,184,
,,,,,,
猴怪,"1,164",105,148,82,120,格鬥
火爆猴,"2,288",139,207,138,163,格鬥
蚊香泳士,"2,586",173,182,184,207,格鬥
腕力,"1,278",146,137,82,172,格鬥
豪力,"2,031",160,177,125,190,格鬥
怪力,"3,056",173,234,159,207,格鬥
飛腿郎,"2,576",118,224,181,137,格鬥
快拳郎,"2,332",118,193,197,137,格鬥
赫拉克羅斯,"3,101",160,234,179,190,格鬥
無畏小子,492,98,64,64,111,格鬥
戰舞郎,"2,156",118,173,207,137,格鬥
力壯雞,"1,652",132,163,115,155,格鬥
火焰雞,"2,848",160,240,141,190,格鬥
斗笠菇,"2,628",132,241,144,155,格鬥
幕下力士,817,149,99,54,176,格鬥
鐵掌力士,"2,829",247,209,114,302,格鬥
瑪沙那,693,91,78,107,102,格鬥
恰雷姆,"1,431",132,121,152,155,格鬥
猛火猴,"1,574",138,158,105,162,格鬥
烈焰猴,"2,683",154,222,151,183,格鬥
利歐路,993,105,127,78,120,格鬥
路卡利歐,"2,703",146,236,144,172,格鬥
不良蛙,952,116,116,76,134,格鬥
毒骷蛙,"2,488",164,211,133,195,格鬥
艾路雷朵,"3,093",143,237,195,169,格鬥
炒炒豬,"1,924",173,173,106,207,格鬥
炎武王,"2,982",200,235,127,242,格鬥
搬運小匠,"1,315",153,134,87,181,格鬥
鐵骨土人,"2,169",166,180,134,198,格鬥
修建老匠,"3,337",193,243,158,233,格鬥
投摔鬼,"2,562",214,172,160,260,格鬥
打擊鬼,"2,788",153,231,153,181,格鬥
滑滑小子,"1,372",118,132,132,137,格鬥
頭巾混混,"2,283",139,163,222,163,格鬥
功夫鼬,"1,389",111,160,98,128,格鬥
師父鼬,"2,710",139,258,127,163,格鬥
勾帕路翁,"3,022",175,192,229,209,格鬥
代拉基翁,"3,698",175,260,192,209,格鬥
畢力吉翁,"3,022",175,192,229,209,格鬥
凱路迪歐,"3,698",175,260,192,209,格鬥
蔥遊兵,"2,985",135,248,176,158,格鬥
,"2,237",149,187,142,176,
,,,,,,
噴火龍,"2,889",157,223,173,186,飛行
巴大蝶,"1,827",132,167,137,155,飛行
波波,680,105,85,73,120,飛行
比比鳥,"1,194",136,117,105,160,飛行
大比鳥,"2,129",164,166,154,195,飛行
烈雀,798,105,112,60,120,飛行
大嘴雀,"1,997",139,182,133,163,飛行
超音蝠,667,105,83,73,120,飛行
大嘴蝠,"1,976",153,161,150,181,飛行
大蔥鴨,"1,236",121,124,115,141,飛行
嘟嘟,"1,200",98,158,83,111,飛行
嘟嘟利,"2,362",132,218,140,155,飛行
飛天螳螂,"2,706",146,218,170,172,飛行
暴鯉龍,"3,391",180,237,186,216,飛行
化石翼龍,"2,783",160,221,159,190,飛行
急凍鳥,"3,051",173,192,236,207,飛行
閃電鳥,"3,527",173,253,185,207,飛行
火焰鳥,"3,465",173,251,181,207,飛行
快龍,"3,792",175,263,198,209,飛行
咕咕,677,132,67,88,155,飛行
貓頭夜鷹,"2,024",187,145,156,225,飛行
芭瓢蟲,728,105,72,118,120,飛行
安瓢蟲,"1,346",125,107,179,146,飛行
叉字蝠,"2,646",166,194,178,198,飛行
波克基古,"1,708",125,139,181,146,飛行
天然雀,"1,102",105,134,89,120,飛行
天然鳥,"2,188",139,192,146,163,飛行
毽子草,600,98,67,94,111,飛行
毽子花,976,125,91,120,146,飛行
毽子棉,"1,636",153,118,183,181,飛行
蜻蜻蜓,"1,470",139,154,94,163,飛行
黑暗鴉,"1,562",132,175,87,155,飛行
天蠍,"1,857",139,143,184,163,飛行
信使鳥,"1,094",111,128,90,128,飛行
巨翅飛魚,"2,108",139,148,226,163,飛行
盔甲鳥,"2,108",139,148,226,163,飛行
洛奇亞,"3,703",195,193,310,235,飛行
鳳王,"3,863",179,239,244,214,飛行
狩獵鳳蝶,"1,765",132,189,98,155,飛行
傲骨燕,765,105,106,61,120,飛行
大王燕,"1,920",132,185,124,155,飛行
