Ä_¥i¹Ú¯à¤O­Èªí,,,,,,,,
¦W¦r,³Ì¤j CP,³Ì¤j HP,§ðÀ»,¨¾¿m,­@¤O,ÄÝ©Ê,¶Ç»¡Ä_¥i¹Ú,¤Û¤§Ä_¥i¹Ú
½Ð°²¤ý,"4,431",233,290,166,284,¤@¯ë,§_,§_
¬ü¬¥­C¶ð,"3,972",187,250,225,225,¤@¯ë,§_,¬O
¦hÃäÃ~¢è,"3,266",166,264,150,198,¤@¯ë,§_,§_
¥d¤ñÃ~,"3,225",269,190,169,330,¤@¯ë,§_,§_
«i¤h¶¯ÆN,"3,088",187,232,152,225,¤@¯ë,§_,§_
°é°éºµ,"2,945",173,236,144,207,¤@¯ë,§_,§_
ªø¤òª¯,"2,827",166,206,182,198,¤@¯ë,§_,§_
©i§JÆN,"2,825",166,234,140,198,¤@¯ë,§_,§_
Ãz¬µÀY¤ô¤û,"2,797",180,195,182,216,¤@¯ë,§_,§_
©¯ºÖ³J,"2,757",399,129,169,496,¤@¯ë,§_,§_
°ª¶Æ¹nÂû,"2,734",160,226,146,190,¤@¯ë,§_,§_
¦hÃäÃ~¢º,"2,711",166,198,180,198,¤@¯ë,§_,§_
°ôÄdºµ,"2,652",177,180,194,212,¤@¯ë,§_,§_
ªÖ®õÃ¹,"2,620",153,198,183,181,¤@¯ë,§_,§_
³UÃ~,"2,586",193,181,165,233,¤@¯ë,§_,§_
¤j¦Þ»Q,"2,467",200,161,181,242,¤@¯ë,§_,§_
Âù§À©Ç¤â,"2,418",153,205,143,181,¤@¯ë,§_,§_
¿ßÃ^±Ù,"2,418",150,222,124,177,¤@¯ë,§_,§_
µÞªÞ³À,"2,416",160,198,146,190,¤@¯ë,§_,§_
¹Ê¹Ê§Q,"2,362",132,218,140,155,¤@¯ë,§_,§_
¤j¥¤Åø,"2,354",180,157,193,216,¤@¯ë,§_,§_
Ãz­µ©Ç,"2,347",193,179,137,232,¤@¯ë,§_,§_
©_¿Õ®ß¹«,"2,242",153,198,130,181,¤@¯ë,§_,§_
Åå¨¤³À,"2,164",150,192,131,177,¤@¯ë,§_,§_
¤j¤ñ³¾,"2,129",164,166,154,195,¤@¯ë,§_,§_
ªø¦Õ¨ß,"2,059",139,156,194,163,¤@¯ë,§_,§_
ÄQÅï©_,"2,046",146,182,133,172,¤@¯ë,§_,§_
¿ßÀY©]ÆN,"2,024",187,145,156,225,¤@¯ë,§_,§_
¤j¼L³¶,"1,997",139,182,133,163,¤@¯ë,§_,§_
¹L°Ê·á,"1,968",160,159,145,190,¤@¯ë,§_,§_
ªF¬IØp,"1,953",147,172,133,174,¤@¯ë,§_,§_
­D¥i¤B,"1,926",242,156,90,295,¤@¯ë,§_,§_
¤j¤ý¿P,"1,920",132,185,124,155,¤@¯ë,§_,§_
¤p¥d¤ñÃ~,"1,892",235,137,117,286,¤@¯ë,§_,§_
¤j§À¯W,"1,823",158,162,119,188,¤@¯ë,§_,§_
¨B­ï¹«,"1,819",132,165,139,155,¤@¯ë,§_,§_
µÁ¾¸³¾,"1,791",154,183,91,183,¤@¯ë,§_,§_
¤j§À¥ß,"1,758",166,148,125,198,¤@¯ë,§_,§_
©Ô¹F,"1,730",125,161,139,146,¤@¯ë,§_,§_
¦hÃäÃ~,"1,720",139,153,136,163,¤@¯ë,§_,§_
¤gÀs§Ì§Ì,"1,689",187,131,128,225,¤@¯ë,§_,§_
¿ß¦Ñ¤j,"1,689",139,150,136,163,¤@¯ë,§_,§_
®t¤£¦h«½«½,"1,682",191,114,163,230,¤@¯ë,§_,§_
ª½½Äºµ,"1,662",157,142,128,186,¤@¯ë,§_,§_
ÄÆ¯Bªwªw,"1,632",146,139,139,172,¤@¯ë,§_,§_
«¢¬ù§J,"1,583",139,145,126,163,¤@¯ë,§_,§_
Àu¶®¿ß,"1,496",146,132,127,172,¤@¯ë,§_,§_
¤òÀY¤pÆN,"1,491",146,150,97,172,¤@¯ë,§_,§_
©B©BÂF,"1,442",135,144,107,158,¤@¯ë,§_,§_
¤j¦ÞÀY,"1,411",173,108,137,207,¤@¯ë,§_,§_
ªø§À©Ç¤â,"1,348",125,136,112,146,¤@¯ë,§_,§_
ºµÄ_Ä_,"1,328",132,142,93,155,¤@¯ë,§_,§_
§qÃz¼u,"1,327",165,134,81,197,¤@¯ë,§_,§_
©i§J³¾,"1,299",125,142,94,146,¤@¯ë,§_,§_
±²±²¦Õ,"1,258",125,130,105,146,¤@¯ë,§_,§_
¦N§Q³J,"1,255",392,60,128,487,¤@¯ë,§_,§_
¤j½µÀn,"1,236",121,124,115,141,¤@¯ë,§_,§_
®Ì®Ì´³,"1,220",132,116,116,155,¤@¯ë,§_,§_
¹Ê¹Ê,"1,200",98,158,83,111,¤@¯ë,§_,§_
¤ñ¤ñ³¾,"1,194",136,117,105,160,¤@¯ë,§_,§_
¥|©u³À,"1,135",132,115,100,155,¤@¯ë,§_,§_
¥ì¥¬,"1,071",125,104,114,146,¤@¯ë,§_,§_
Ãi¤HÃ¡,"1,002",132,104,92,155,¤@¯ë,§_,§_
¾y¤OØp,934,117,109,82,135,¤@¯ë,§_,§_
¤p¬ù§J,915,111,107,86,128,¤@¯ë,§_,§_
ªwªj®ß¹«,872,125,98,80,146,¤@¯ë,§_,§_
